#,Column1,Electors,Margin,Margin %,No,Party,Party Category,PC Name,State,Turnout,Type,Votes,Winning Candidate
199,198,1572016,69111,5.6,8,Telugu Desam,Other,Guntur,Andhra Pradesh,79.2,GEN,1244926,Jayadev Galla
200,199,1500337,136065,13,1,Bharatiya Janta Party,BJP,Gurdaspur,Punjab,69.5,GEN,1042699,Vinod Khanna
201,200,1845623,274722,20.8,9,Bharatiya Janta Party,BJP,Gurgaon,Haryana,71.6,GEN,1320619,Inderjit Singh Rao
202,201,1877003,29699,3,3,Bharatiya Janta Party,BJP,Gwalior,Madhya Pradesh,52.8,GEN,990912,Narendra Singh Tomar
203,202,1649547,225500,24.9,21,Lok Jan Shakti Party,Other,Hajipur,Bihar,54.9,SC,904753,Ramvilas Paswan
204,203,1247699,98403,11.8,3,Bharatiya Janta Party,BJP,Hamirpur,Himachal Pradesh,66.9,GEN,835205,Anurag Singh Thakur
205,204,1737993,266788,27.4,47,Bharatiya Janta Party,BJP,Hamirpur,Uttar Pradesh,56.1,GEN,975240,Kunwar Pushpendra Singh Chandel
206,205,1714387,81343,8.4,31,Bharatiya Janta Party,BJP,Hardoi,Uttar Pradesh,56.8,SC,972894,Anshul Verma
207,206,1642873,177822,15.1,5,Bharatiya Janta Party,BJP,Hardwar,Uttarakhand,71.6,GEN,1175692,Ramesh Pokhriyal Nishank
208,207,1561336,100462,8.8,16,Janata Dal (Secular),Other,Hassan,Karnataka,73.5,GEN,1147172,H.D. Devegowda
209,208,1758927,326386,31.1,16,Bharatiya Janta Party,BJP,Hathras,Uttar Pradesh,59.7,SC,1049273,Rajesh Kumar Diwaker
210,209,1630598,177810,15,48,Swabhimani Paksha,Other,Hatkanangle,Maharashtra,72.9,GEN,1188871,Raju Shetty
211,210,1558749,87571,7.8,10,Bharatiya Janta Party,BJP,Haveri,Karnataka,71.6,GEN,1115968,Udasi Shivakumar Channabasappa
212,211,1518831,159128,16.5,14,Bharatiya Janta Party,BJP,Hazaribagh,Jharkhand,63.7,GEN,967152,Jayant Sinha
213,212,1446503,97325,8.3,9,Telugu Desam,Other,Hindupur,Andhra Pradesh,81.4,GEN,1177257,Kristappa Nimmala
214,213,1586194,1632,0.2,15,Indian National Congress,INC,Hingoli,Maharashtra,66.3,GEN,1051164,Rajeev Shankarrao Satav
215,214,1517606,31847,2.8,4,Indian National Lok Dal,Other,Hisar,Haryana,76.2,GEN,1155914,Dushyant Chautala
216,215,1630042,189084,14,28,All India Trinamool Congress,Other,Hooghly,West Bengal,82.8,GEN,1348870,Dr. Ratna De (NAG)
217,216,1568127,389960,37.8,17,Bharatiya Janta Party,BJP,Hoshangabad,Madhya Pradesh,65.8,GEN,1031175,Uday Pratap Singh
218,217,1485286,13582,1.4,5,Bharatiya Janta Party,BJP,Hoshiarpur,Punjab,64.7,SC,961297,Vijay Sampla
219,218,1505099,196956,17.5,25,All India Trinamool Congress,Other,Howrah,West Bengal,74.8,GEN,1125399,Prasun Banerjee
220,219,1823664,202454,20.8,9,All India Majlis-E-Ittehadul Muslimeen,Other,Hyderabad,Telangana,53.3,GEN,971421,Asaduddin Owaisi
221,220,1158735,50542,6.2,13,Independent,Other,Idukki,Kerala,70.8,GEN,819766,Adv.Joice George
222,221,2115303,466901,35.5,26,Bharatiya Janta Party,BJP,Indore,Madhya Pradesh,62.3,GEN,1316817,Sumitra Mahajan (TAI)
223,222,855359,94674,14.8,1,Indian National Congress,INC,Inner Manipur,Manipur,74.9,GEN,640871,Dr. Thokchom Meinya
224,223,1711683,208639,20.8,13,Bharatiya Janta Party,BJP,Jabalpur,Madhya Pradesh,58.6,GEN,1002184,Rakesh Singh
225,224,1595746,125203,9.8,22,All India Trinamool Congress,Other,Jadavpur,West Bengal,79.7,GEN,1272362,Sugata Bose
226,225,1499673,276394,24.4,16,Biju Janata Dal,Other,Jagatsinghpur,Orissa,75.5,SC,1131932,Kulamani Samal
227,226,1423246,42340,5.2,36,Rashtriya Lok Samta Party,Other,Jahanabad,Bihar,57,GEN,811516,Dr. Arun Kumar
228,227,1957818,539345,41.6,7,Bharatiya Janta Party,BJP,Jaipur,Rajasthan,66.2,GEN,1296806,Ramcharan Bohara
229,228,1699462,332896,32.8,6,Bharatiya Janta Party,BJP,Jaipur Rural,Rajasthan,59.7,GEN,1013691,Rajyavardhan Singh Rathore
230,229,1303733,320271,32.7,8,Biju Janata Dal,Other,Jajpur,Orissa,75.2,SC,980435,Rita Tarai
231,230,1551497,70981,6.8,4,Indian National Congress,INC,Jalandhar,Punjab,67.1,SC,1040762,Santokh Singh Chaudhary
232,231,1903332,287202,25.9,45,Bharatiya Janta Party,BJP,Jalaun,Uttar Pradesh,58.3,SC,1109166,Bhanu Pratap Singh Verma
233,232,1707933,383525,38.7,3,Bharatiya Janta Party,BJP,Jalgaon,Maharashtra,58,GEN,990332,A.T. Nana Patil
234,233,1612054,206798,19.4,18,Bharatiya Janta Party,BJP,Jalna,Maharashtra,66.1,GEN,1066259,Danve Raosaheb Dadarao
235,234,1824968,381145,35.1,18,Bharatiya Janta Party,BJP,Jalore,Rajasthan,59.6,GEN,1087272,Devji Patel
236,235,1531469,69606,5.3,3,All India Trinamool Congress,Other,Jalpaiguri,West Bengal,85,SC,1302117,Bijoy Chandra Barman
237,236,1848155,257280,20.5,6,Bharatiya Janta Party,BJP,Jammu,Jammu & Kashmir,67.8,GEN,1253593,Jugal Kishore
238,237,1470952,175289,20.6,12,Bharatiya Janta Party,BJP,Jamnagar,Gujarat,58,GEN,852643,Poonamben Hematbhai Maadam
239,238,1581665,99876,9.5,9,Bharatiya Janta Party,BJP,Jamshedpur,Jharkhand,66.3,GEN,1049140,Bidyut Baran Mahato
240,239,1550936,85947,11.1,40,Lok Jan Shakti Party,Other,Jamui,Bihar,50,SC,775639,Chirag Kumar Paswan
241,240,1391656,8161,0.7,9,Indian National Congress,INC,Jangipur,West Bengal,80.4,GEN,1119084,Abhijit Mukherjee
242,241,1737532,174961,16.3,3,Bharatiya Janta Party,BJP,Janjgir-Champa,Chhattisgarh,61.8,SC,1073347,Kamla Patle
243,242,1848842,146310,14.5,73,Bharatiya Janta Party,BJP,Jaunpur,Uttar Pradesh,54.5,GEN,1007143,Krishna Pratap 'k.P.'
244,243,1669842,281546,24.6,25,Bharatiya Janta Party,BJP,Jhalawar-Baran,Rajasthan,68.7,GEN,1146364,Dushyant Singh
245,244,1650753,55408,5.9,7,Bharatiya Janta Party,BJP,Jhanjharpur,Bihar,57,GEN,941249,Birendra Kumar Chaudhary
246,245,1932015,190467,14.4,46,Bharatiya Janta Party,BJP,Jhansi,Uttar Pradesh,68.4,GEN,1320804,Uma Bharati
247,246,1475112,347883,27.7,33,All India Trinamool Congress,Other,Jhargram,West Bengal,85.3,ST,1257613,Uma Saren
248,247,1696788,233835,23.2,4,Bharatiya Janta Party,BJP,Jhunjhunu,Rajasthan,59.3,GEN,1006465,Santosh Ahlawat
249,248,1727363,410051,38,16,Bharatiya Janta Party,BJP,Jodhpur,Rajasthan,62.4,GEN,1078598,Gajendrasingh Shekhawat
250,249,1234448,102420,11,12,Bharatiya Janta Party,BJP,Jorhat,Assam,75.5,GEN,931336,Kamakhya Prasad Tasa
251,250,1458724,108384,9.1,19,All India Trinamool Congress,Other,Joynagar,West Bengal,81.3,SC,1186052,Pratima Mondal
252,251,1485543,135832,14.4,13,Bharatiya Janta Party,BJP,Junagadh,Gujarat,63.4,GEN,941378,Chudasama Rajeshbhai Naranbhai
253,252,1533782,254482,26.9,1,Bharatiya Janta Party,BJP,Kachchh,Gujarat,61.7,SC,946240,Chavda Vinod Lakhamashi
254,253,1550579,190323,15.9,10,Yuvajana Sramika Rythu Congress Party,Other,Kadapa,Andhra Pradesh,77.4,GEN,1200662,Y.S. Avinash Reddy
255,254,1531755,236828,21.2,2,Bharatiya Janta Party,BJP,Kairana,Uttar Pradesh,73.1,GEN,1119324,Hukum Singh
256,255,1711967,78218,8.3,57,Bharatiya Janta Party,BJP,Kaiserganj,Uttar Pradesh,55.1,GEN,943357,Brij Bhusan Sharan Singh
257,256,1418290,3431,0.3,11,Telugu Desam,Other,Kakinada,Andhra Pradesh,77.6,GEN,1099999,Thota Narasimham
258,257,1474135,56347,5,11,Biju Janata Dal,Other,Kalahandi,Orissa,75.8,GEN,1117536,Arka Keshari Deo
259,258,1457865,93874,8,11,Indian National Congress,INC,Kaliabor,Assam,80,GEN,1166490,Gourav Gogoi
260,259,1412499,223507,20.2,14,All India Anna Dravida Munnetra Kazhagam,Other,Kallakurichi,Tamil Nadu,78.4,GEN,1107241,Kamaraj. K
261,260,1922046,250749,30.4,24,Shiv Sena,Other,Kalyan,Maharashtra,42.9,GEN,824196,Dr.Shrikant Eknath Shinde
262,261,1480123,146866,13,6,All India Anna Dravida Munnetra Kazhagam,Other,Kancheepuram,Tamil Nadu,76.2,SC,1128399,Maragatham K
263,262,1143602,181017,21.6,13,Biju Janata Dal,Other,Kandhamal,Orissa,73.4,GEN,839415,Hemendra Chandra Singh
264,263,1258601,170072,21.3,1,Bharatiya Janta Party,BJP,Kangra,Himachal Pradesh,63.5,GEN,799445,Shanta Kumar
265,264,1447774,35158,3.5,11,Bharatiya Janta Party,BJP,Kanker,Chhattisgarh,70.2,ST,1016943,Vikram Dev Usendi
266,265,1808889,19907,1.8,42,Samajwadi Party,Other,Kannauj,Uttar Pradesh,61.6,GEN,1114460,Dimple Yadav
267,266,1467796,128662,13,39,Bharatiya Janta Party,BJP,Kanniyakumari,Tamil Nadu,67.5,GEN,990742,Radhakrishnan P.
268,267,1170266,6566,0.7,2,Communist Party Of India (Marxist),Other,Kannur,Kerala,80.9,GEN,947117,P K Sreemathi Teacher
269,268,1611248,222946,26.7,43,Bharatiya Janta Party,BJP,Kanpur,Uttar Pradesh,51.8,GEN,835079,Dr.Murli Manohar Joshi
270,269,1490409,229490,17.8,31,All India Trinamool Congress,Other,Kanthi,West Bengal,86.6,GEN,1290811,Adhikari Sisir Kumar
271,270,1569989,105241,13.3,35,Rashtriya Lok Samta Party,Other,Karakat,Bihar,50.3,GEN,789927,Upendra Kushwaha
272,271,1549662,27216,3.2,10,Bharatiya Janta Party,BJP,Karauli-Dholpur,Rajasthan,54.6,SC,845941,Manoj Rajoria
273,272,1165997,102094,11.5,1,All India United Democratic Front,Other,Karimganj,Assam,76.1,SC,886920,Radheshyam Biswas
274,273,1550834,205077,18.2,3,Telangana Rashtra Samithi,Other,Karimnagar,Telangana,72.6,GEN,1125691,Vinod Kumar Boinapally
275,274,1684321,360147,30.2,5,Bharatiya Janta Party,BJP,Karnal,Haryana,70.9,GEN,1193500,Ashwini Kumar
276,275,1298322,195247,18.7,23,All India Anna Dravida Munnetra Kazhagam,Other,Karur,Tamil Nadu,80.6,GEN,1046534,"Thambidurai,m."
277,276,1243730,6921,0.7,1,Communist Party Of India (Marxist),Other,Kasaragod,Kerala,78.3,GEN,974215,P Karunakaran
278,277,1446478,114740,11.7,11,Nationalist Congress Party,Other,Katihar,Bihar,67.6,GEN,977830,Tariq Anwar
279,278,1738994,42847,4.7,50,Bharatiya Janta Party,BJP,Kaushambi,Uttar Pradesh,52.3,SC,910038,Vinod Kumar Sonkar
280,279,1555444,209108,18.3,15,Biju Janata Dal,Other,Kendrapara,Orissa,73.4,GEN,1140999,Baijayant Panda
281,280,1346683,157317,14.5,4,Biju Janata Dal,Other,Keonjhar,Orissa,80.5,ST,1083869,Sakuntala Laguri
282,281,1563256,100569,9.7,3,Shiromani Akali Dal,Other,Khadoor Sahib,Punjab,66.6,GEN,1040518,Ranjit Singh Brahmpura
283,282,1492068,76003,8.5,25,Lok Jan Shakti Party,Other,Khagaria,Bihar,60.1,GEN,896231,Choudhary Mahboob Ali Kaiser
284,283,1702794,247490,28.3,8,Bharatiya Janta Party,BJP,Khajuraho,Madhya Pradesh,51.4,GEN,874477,Nagendra Singh
285,284,1440289,11974,1,17,Yuvajana Sramika Rythu Congress Party,Other,Khammam,Telangana,82.1,GEN,1182897,Ponguleti Srinivasa Reddy
286,285,1759410,259714,20.7,28,Bharatiya Janta Party,BJP,Khandwa,Madhya Pradesh,71.5,GEN,1257327,Nandkumar Singh Chouhan (NANDU BHAIYA)
287,286,1703271,257879,22.4,27,Bharatiya Janta Party,BJP,Khargone,Madhya Pradesh,67.7,ST,1152525,Subhash Patel
288,287,1599476,232901,24.4,17,Bharatiya Janta Party,BJP,Kheda,Gujarat,59.8,GEN,955906,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH)
289,288,1679466,110274,10.2,28,Bharatiya Janta Party,BJP,Kheri,Uttar Pradesh,64.2,GEN,1077868,Ajay Kumar
290,289,1111852,92248,12.5,11,Bharatiya Janta Party,BJP,Khunti,Jharkhand,66.3,ST,736955,Karia Munda
291,290,1438990,194612,21,10,Indian National Congress,INC,Kishanganj,Bihar,64.5,GEN,928490,Mohammad Asrarul Haque
292,291,1639629,98654,9.6,5,Bharatiya Janta Party,BJP,Kodarma,Jharkhand,62.5,GEN,1024906,Ravindra Kr. Ray
293,292,1505476,355779,29.1,5,Independent,Other,Kokrajhar,Assam,81.3,ST,1223869,Naba Kumar Sarania (HIRA)
294,293,1492975,47850,4.2,28,Indian National Congress,INC,Kolar,Karnataka,75.5,SC,1127323,K.H.Muniyappa
295,294,1758300,33259,2.6,47,Nationalist Congress Party,Other,Kolhapur,Maharashtra,71.7,GEN,1260289,Dhananjay Bhimrao Mahadik
296,295,1685296,136339,11.7,23,All India Trinamool Congress,Other,Kolkata Dakshin,West Bengal,69.3,GEN,1167979,Subrata Bakshi
297,296,1433985,96226,10.1,24,All India Trinamool Congress,Other,Kolkata Uttar,West Bengal,66.7,GEN,955778,Sudip Bandyopadhyay
298,297,1219415,37649,4.3,18,Revolutionary Socialist Party,Other,Kollam,Kerala,72.1,GEN,879056,N.K.Premachandran
299,298,1535105,32414,3.2,8,Bharatiya Janta Party,BJP,Koppal,Karnataka,65.6,GEN,1006508,Karadi Sanganna Amarappa
300,299,1300437,19328,2,21,Biju Janata Dal,Other,Koraput,Orissa,76.1,ST,989444,Jhina Hikaka
301,300,1419610,4265,0.4,4,Bharatiya Janta Party,BJP,Korba,Chhattisgarh,74.2,GEN,1052720,Dr. Banshilal Mahto
302,301,1744539,200782,17.4,24,Bharatiya Janta Party,BJP,Kota,Rajasthan,66.2,GEN,1154960,Om Birla
303,302,1161463,120599,14.5,14,Kerala Congress(M),Other,Kottayam,Kerala,71.6,GEN,831636,Jose K. Mani
304,303,1182484,16883,1.8,5,Indian National Congress,INC,Kozhikode,Kerala,79.8,GEN,943009,M .K Raghavan
305,304,1379957,206591,19.3,9,All India Anna Dravida Munnetra Kazhagam,Other,Krishnagiri,Tamil Nadu,77.4,GEN,1068391,Ashok Kumar.K
306,305,1476783,71255,5.7,12,All India Trinamool Congress,Other,Krishnanagar,West Bengal,84.5,GEN,1247914,Tapas Paul
307,306,1481807,44131,4.1,12,Yuvajana Sramika Rythu Congress Party,Other,Kurnool,Andhra Pradesh,71.9,GEN,1065732,Butta Renuka
308,307,1498459,129736,11.4,2,Bharatiya Janta Party,BJP,Kurukshetra,Haryana,75.8,GEN,1135892,Raj Kumar Saini
309,308,1680992,85540,9,65,Bharatiya Janta Party,BJP,Kushi Nagar,Uttar Pradesh,56.5,GEN,950445,Rajesh Pandey Urf Guddu
310,309,166763,36,0,4,Bharatiya Janta Party,BJP,Ladakh,Jammu & Kashmir,70.8,GEN,118029,Thupstan Chhewang
311,310,1430994,292138,26.3,14,Bharatiya Janta Party,BJP,Lakhimpur,Assam,77.7,GEN,1111975,Sarbananda Sonowal
312,311,49922,1535,3.6,1,Nationalist Congress Party,Other,Lakshadweep,Lakshadweep,86.6,ST,43239,Mohammed Faizal P.P.
313,312,1661483,63086,7,68,Bharatiya Janta Party,BJP,Lalganj,Uttar Pradesh,54.1,SC,898655,Neelam Sonkar
314,313,1682607,253395,24,41,Bharatiya Janta Party,BJP,Latur,Maharashtra,62.8,SC,1057156,Dr. Sunil Baliram Gaikwad
315,314,1119144,6489,1,12,Bharatiya Janta Party,BJP,Lohardaga,Jharkhand,58.2,ST,651460,Sudarshan Bhagat
316,315,1949956,272749,26.4,35,Bharatiya Janta Party,BJP,Lucknow,Uttar Pradesh,53,GEN,1033783,Raj Nath Singh
317,316,1561201,19709,1.8,7,Indian National Congress,INC,Ludhiana,Punjab,70.5,GEN,1100457,Ravneet Singh Bittu
318,317,1891969,172155,17.3,74,Bharatiya Janta Party,BJP,Machhlishahr,Uttar Pradesh,52.7,SC,997902,Ram Charitra Nishad
319,318,1369311,81057,7.1,13,Telugu Desam,Other,Machilipatnam,Andhra Pradesh,83.3,GEN,1141065,Konakalla Narayana Rao
320,319,1727308,25344,2.3,43,Nationalist Congress Party,Other,Madha,Maharashtra,62.5,GEN,1079619,Mohite Patil Vijaysinh Shankarrao
321,320,1725578,56209,5.4,13,Rashtriya Janata Dal,Other,Madhepura,Bihar,60,GEN,1034799,Rajesh Ranjan @ Pappu Yadav
322,321,1627969,20535,2.4,6,Bharatiya Janta Party,BJP,Madhubani,Bihar,52.9,GEN,860453,Hukm Deo Narayan Yadav
323,322,1441434,197436,20.2,32,All India Anna Dravida Munnetra Kazhagam,Other,Madurai,Tamil Nadu,67.9,GEN,978346,R.Gopalakrishnan
324,323,1387343,34992,3.1,16,Telangana Rashtra Samithi,Other,Mahabubabad,Telangana,81,ST,1124370,Prof. Azmeera Seetaram Naik
325,324,1743131,240458,22.8,63,Bharatiya Janta Party,BJP,Maharajganj,Uttar Pradesh,60.6,GEN,1056078,Pankaj
326,325,1644524,38415,4.5,19,Bharatiya Janta Party,BJP,Maharajganj,Bihar,51.5,GEN,846654,Janardan Singh Sigriwal
327,326,1515747,1217,0.1,9,Bharatiya Janta Party,BJP,Mahasamund,Chhattisgarh,74.6,GEN,1131209,Chandu Lal Sahu (CHANDU BHAIYA)
328,327,1418672,2590,0.3,11,Telangana Rashtra Samithi,Other,Mahbubnagar,Telangana,71.5,GEN,1014800,Ap Jithender Reddy
329,328,1498219,208891,20.8,4,Bharatiya Janta Party,BJP,Mahesana,Gujarat,67,GEN,1004258,Patel Jayshreeben Kanubhai
330,329,1653065,364666,36.5,21,Samajwadi Party,Other,Mainpuri,Uttar Pradesh,60.5,GEN,999265,Mulayam Singh Yadav
331,330,1198444,194739,22.8,6,Indian Union Muslim League,Other,Malappuram,Kerala,71.2,GEN,853467,E. Ahamed
332,331,1347143,164111,15,8,Indian National Congress,INC,Maldaha Dakshin,West Bengal,81.1,GEN,1092407,Abu Hasem Khan Chowdhury
333,332,1425428,65705,5.6,7,Indian National Congress,INC,Maldaha Uttar,West Bengal,81.6,GEN,1162985,Mausam Noor
334,333,3183325,28371,1.8,7,Telugu Desam,Other,Malkajgiri,Telangana,50.9,GEN,1620397,Ch.Malla Reddy
335,334,1150408,39856,5.5,2,Bharatiya Janta Party,BJP,Mandi,Himachal Pradesh,63.1,GEN,726094,Ram Swaroop Sharma
336,335,1824424,110469,9.1,14,Bharatiya Janta Party,BJP,Mandla,Madhya Pradesh,66.8,ST,1218518,Faggan Singh Kulaste
337,336,1626571,303649,26.1,23,Bharatiya Janta Party,BJP,Mandsour,Madhya Pradesh,71.4,GEN,1161349,Sudhir Gupta
338,337,1669262,5518,0.5,20,Janata Dal (Secular),Other,Mandya,Karnataka,71.5,GEN,1192638,C.S.Puttaraju
339,338,1515676,22884,1.9,8,Bharatiya Janta Party,BJP,Mangaldoi,Assam,81.4,GEN,1233237,Ramen Deka
340,339,1682260,330743,30.7,17,Bharatiya Janta Party,BJP,Mathura,Uttar Pradesh,64,GEN,1076868,Hema Malini
341,340,1488784,138436,10.9,20,All India Trinamool Congress,Other,Mathurapur,West Bengal,85,SC,1265531,Choudhury Mohan Jatua
342,341,1953741,157397,13.4,33,Shiv Sena,Other,Maval,Maharashtra,60.1,GEN,1174335,Appa Alias Shrirang Chandu Barne
343,342,1252668,32737,3.7,16,Indian National Congress,INC,Mavelikara,Kerala,71,SC,889060,Kodikunnil Suresh
344,343,1350318,277050,27,28,All India Anna Dravida Munnetra Kazhagam,Other,Mayiladuthurai,Tamil Nadu,76,GEN,1025538,Bharathi Mohan R.K
345,344,1327555,122866,11.7,5,Biju Janata Dal,Other,Mayurbhanj,Orissa,79.4,ST,1053399,Rama Chandra Hansdah
346,345,1536715,397029,33.3,6,Telangana Rashtra Samithi,Other,Medak,Telangana,77.5,GEN,1191096,Kalvakuntla Chandrasekhar Rao
347,346,1499673,184666,14.7,34,All India Trinamool Congress,Other,Medinipur,West Bengal,84,GEN,1260032,Sandhya Roy
348,347,1764388,232326,20.9,10,Bharatiya Janta Party,BJP,Meerut,Uttar Pradesh,63.1,GEN,1113384,Rajendra Agarwal
349,348,1720661,219079,21.7,79,Apna Dal,Other,Mirzapur,Uttar Pradesh,58.6,GEN,1007627,Anupriya Singh Patel
350,349,1725585,87363,8.8,32,Bharatiya Janta Party,BJP,Misrikh,Uttar Pradesh,57.9,SC,998314,Anju Bala
351,350,702170,6154,1.4,1,Indian National Congress,INC,Mizoram,Mizoram,61.7,ST,433201,C. L. Ruala
352,351,1838194,145416,13,34,Bharatiya Janta Party,BJP,Mohanlalganj,Uttar Pradesh,60.7,SC,1116588,Kaushal Kishore
353,352,1772046,87504,7.8,6,Bharatiya Janta Party,BJP,Moradabad,Uttar Pradesh,63.7,GEN,1127965,Kunwer Sarvesh Kumar
354,353,1702492,132981,15.6,1,Bharatiya Janta Party,BJP,Morena,Madhya Pradesh,50.2,GEN,854279,Anoop Mishra
355,354,1783870,446582,47.2,26,Bharatiya Janta Party,BJP,Mumbai North,Maharashtra,53.1,GEN,946562,Gopal Chinayya Shetty
356,355,1738894,186771,22.1,29,Bharatiya Janta Party,BJP,Mumbai North Central,Maharashtra,48.6,GEN,845292,Poonam Mahajan Alias Poonam Vajendla Rao
357,356,1668357,317122,36.8,28,Bharatiya Janta Party,BJP,Mumbai North East,Maharashtra,51.7,GEN,861761,Kirit Somaiya
358,357,1775428,183028,20.4,27,Shiv Sena,Other,Mumbai North West,Maharashtra,50.4,GEN,895517,Gajanan Chandrakant Kirtikar
359,358,1485846,128148,16.4,31,Shiv Sena,Other,Mumbai South,Maharashtra,52.5,GEN,780715,Arvind Sawant
360,359,1447885,138342,18,30,Shiv Sena,Other,Mumbai South Central,Maharashtra,53.1,GEN,769060,Rahul Ramesh Shewale
361,360,1696546,109084,11.9,28,Lok Jan Shakti Party,Other,Munger,Bihar,53.9,GEN,914350,Veena Devi
362,361,1512098,18453,1.4,11,Communist Party Of India (Marxist),Other,Murshidabad,West Bengal,85.2,GEN,1287763,Badaruddoza Khan
363,362,1588483,401150,36.2,3,Bharatiya Janta Party,BJP,Muzaffarnagar,Uttar Pradesh,69.7,GEN,1107434,(DR.) SANJEEV KUMAR BALYAN
364,363,1551363,222422,23.4,15,Bharatiya Janta Party,BJP,Muzaffarpur,Bihar,61.2,GEN,948887,Ajay Nishad
365,364,1723134,31608,2.7,21,Bharatiya Janta Party,BJP,Mysore,Karnataka,67.3,GEN,1159594,Prathap Simha
366,365,1297210,2042,0.2,12,Biju Janata Dal,Other,Nabarangpur,Orissa,78.8,ST,1022172,Balabhadra Majhi
367,366,1182948,400225,38.5,1,Naga Peoples Front,Other,Nagaland,Nagaland,87.8,ST,1038910,Neiphiu Rio
368,367,1210626,106079,11.3,29,All India Anna Dravida Munnetra Kazhagam,Other,Nagapattinam,Tamil Nadu,77.8,SC,942202,Gopal. Dr. K
369,368,1477338,16676,1.5,12,Indian National Congress,INC,Nagarkurnool,Telangana,75.1,SC,1108968,Yellaiah Nandi
370,369,1678662,75218,7.5,14,Bharatiya Janta Party,BJP,Nagaur,Rajasthan,59.8,GEN,1004019,C R Choudhary
371,370,1493411,92390,9.8,5,Bharatiya Janta Party,BJP,Nagina,Uttar Pradesh,63.1,SC,942196,Yashwant Singh
372,371,1900787,284828,26.3,10,Bharatiya Janta Party,BJP,Nagpur,Maharashtra,57.1,GEN,1085058,Gadkari Nitin Jairam
373,372,1610810,284717,25.8,4,Bharatiya Janta Party,BJP,Nainital-Udhamsingh Nagar,Uttarakhand,68.4,GEN,1101435,Bhagat Singh Koshyari
374,373,1951967,9627,1,29,Janata Dal (United),Other,Nalanda,Bihar,47.2,GEN,921761,Kaushlendra Kumar
375,374,1495580,193156,16.2,13,Indian National Congress,INC,Nalgonda,Telangana,79.5,GEN,1189399,Gutha Sukhender Reddy
376,375,1329552,294374,27.8,16,All India Anna Dravida Munnetra Kazhagam,Other,Namakkal,Tamil Nadu,79.6,GEN,1058755,Sundaram P.R
377,376,1687057,81455,8,16,Indian National Congress,INC,Nanded,Maharashtra,60.1,GEN,1013350,Ashok Shankarrao Chavan
378,377,1672715,106905,9.6,1,Bharatiya Janta Party,BJP,Nandurbar,Maharashtra,66.8,ST,1116676,Dr.Gavit Heena Vaijaykumar
379,378,1577128,105766,8.8,14,Yuvajana Sramika Rythu Congress Party,Other,Nandyal,Andhra Pradesh,76.4,GEN,1204956,S.P.Y Reddy
380,379,1514861,35280,2.8,15,Telugu Desam,Other,Narasaraopet,Andhra Pradesh,84.6,GEN,1282058,Sambasiva Rao Rayapati
381,380,1325143,85351,7.8,16,Bharatiya Janta Party,BJP,Narsapuram,Andhra Pradesh,82.2,GEN,1088951,Gokaraju Ganga Raju
382,381,1593237,187336,20,21,Shiv Sena,Other,Nashik,Maharashtra,58.8,GEN,937405,Godse Hemant Tukaram
383,382,1764622,558116,48.1,25,Bharatiya Janta Party,BJP,Navsari,Gujarat,65.8,GEN,1160747,C. R. Patil
384,383,1675789,140157,15.8,39,Bharatiya Janta Party,BJP,Nawada,Bihar,52.8,GEN,884441,Giriraj Singh
385,384,1606140,13478,1.1,17,Yuvajana Sramika Rythu Congress Party,Other,Nellore,Andhra Pradesh,73.9,GEN,1187648,Mekapati Rajamohan Reddy
386,385,1490147,162708,16.8,4,Bharatiya Janta Party,BJP,New Delhi,Delhi,65.1,GEN,969812,Meenakashi Lekhi
387,386,1269163,104940,11.2,19,All India Anna Dravida Munnetra Kazhagam,Other,Nilgiris,Tamil Nadu,73.5,SC,933076,"Gopalakrishnan, C."
388,387,1496193,167184,16.2,4,Telangana Rashtra Samithi,Other,Nizamabad,Telangana,69.1,GEN,1033924,Kalvakuntla Kavitha
389,388,1957707,144084,10.9,2,Bharatiya Janta Party,BJP,North East Delhi,Delhi,67.3,GEN,1317338,Manoj Tiwari
390,389,515441,105599,26,1,Bharatiya Janta Party,BJP,North Goa,Goa,78.9,GEN,406631,Shripad Yesso Naik
391,390,2194425,106802,7.9,5,Bharatiya Janta Party,BJP,North West Delhi,Delhi,61.8,SC,1356036,Udit Raj
392,391,1523881,143559,11.7,10,Bharatiya Janta Party,BJP,Nowgong,Assam,80.7,GEN,1230074,Rajen Gohain
393,392,1470483,15658,1.3,18,Yuvajana Sramika Rythu Congress Party,Other,Ongole,Andhra Pradesh,82.2,GEN,1208225,Y.V.Subba Reddy
394,393,1726793,234325,21,40,Shiv Sena,Other,Osmanabad,Maharashtra,64.8,GEN,1118151,Gaikwad Ravindra Vishwanath
395,394,918966,15637,2,2,Indian National Congress,INC,Outer Manipur,Manipur,84,ST,771766,Thangso Baite
396,395,1208758,105300,11.6,8,Communist Party Of India (Marxist),Other,Palakkad,Kerala,75.3,GEN,910322,M B Rajesh
397,396,1645957,263942,27,13,Bharatiya Janta Party,BJP,Palamau,Jharkhand,59.4,SC,977323,Vishnu Dayal Ram
398,397,1578077,239520,24.1,22,Bharatiya Janta Party,BJP,Palghar,Maharashtra,62.9,ST,992618,Adv. Chintaman Navasha Wanga
399,398,1893030,399039,36.4,15,Bharatiya Janta Party,BJP,Pali,Rajasthan,57.9,GEN,1095587,P P Choudhary
